"fid","dim","iid","rep","basic.dim","basic.observations","basic.lower_min","basic.lower_max","basic.upper_min","basic.upper_max","basic.objective_min","basic.objective_max","basic.blocks_min","basic.blocks_max","basic.cells_total","basic.cells_filled","basic.minimize_fun","basic.costs_fun_evals","basic.costs_runtime","ela_distr.skewness","ela_distr.kurtosis","ela_distr.number_of_peaks","ela_distr.costs_fun_evals","ela_distr.costs_runtime","ela_meta.lin_simple.adj_r2","ela_meta.lin_simple.intercept","ela_meta.lin_simple.coef.min","ela_meta.lin_simple.coef.max","ela_meta.lin_simple.coef.max_by_min","ela_meta.lin_w_interact.adj_r2","ela_meta.quad_simple.adj_r2","ela_meta.quad_simple.cond","ela_meta.quad_w_interact.adj_r2","ela_meta.costs_fun_evals","ela_meta.costs_runtime","disp.ratio_mean_02","disp.ratio_mean_05","disp.ratio_mean_10","disp.ratio_mean_25","disp.ratio_median_02","disp.ratio_median_05","disp.ratio_median_10","disp.ratio_median_25","disp.diff_mean_02","disp.diff_mean_05","disp.diff_mean_10","disp.diff_mean_25","disp.diff_median_02","disp.diff_median_05","disp.diff_median_10","disp.diff_median_25","disp.costs_fun_evals","disp.costs_runtime","limo.avg_length.reg","limo.avg_length.norm","limo.length.mean","limo.length.sd","limo.cor.reg","limo.cor.norm","limo.ratio.mean","limo.ratio.sd","limo.sd_ratio.reg","limo.sd_ratio.norm","limo.sd_mean.reg","limo.sd_mean.norm","limo.costs_fun_evals","limo.costs_runtime","nbc.nn_nb.sd_ratio","nbc.nn_nb.mean_ratio","nbc.nn_nb.cor","nbc.dist_ratio.coeff_var","nbc.nb_fitness.cor","nbc.costs_fun_evals","nbc.costs_runtime","pca.expl_var.cov_x","pca.expl_var.cor_x","pca.expl_var.cov_init","pca.expl_var.cor_init","pca.expl_var_PC1.cov_x","pca.expl_var_PC1.cor_x","pca.expl_var_PC1.cov_init","pca.expl_var_PC1.cor_init","pca.costs_fun_evals","pca.costs_runtime","ic.h.max","ic.eps.s","ic.eps.max","ic.eps.ratio","ic.m0","ic.costs_fun_evals","ic.costs_runtime"
1,2,1,1,2,100,-5,-5,5,5,-1.4390170788931,2.92523258803234,1,1,1,1,TRUE,0,0,0.636558780818323,-0.343538420295577,1,0,0.0499999999999998,0.27689361649712,-0.67856868614874,0.460398627510325,1.81785786558871,3.94844327712063,0.268703068912863,1,1,1,0,0,0.179671799200688,0.215859332312224,0.324660185400584,0.508533169293549,0.18355879395121,0.191380348805262,0.322953283414677,0.497934739445852,-0.431530897144325,-0.412494566790394,-0.355260243140982,-0.258534477011497,-0.420391466009565,-0.416364090998103,-0.34861623792817,-0.258517024071198,0,0,1.87525308043905,1,1.87525308043905,NA,NA,NA,3.94844327712063,NA,NA,NA,NA,NA,0,0,0.950926363568247,0.914175647358606,0.629377055422097,0.142926314981102,-0.4188980751915,0,0.0199999999999996,1,1,0.666666666666667,1,0.51417214160292,0.514171971952286,0.879301853996022,0.519674267983819,0,0.00999999999999979,0.790088406215168,1.00600600600601,2.37405472086744,0.525525525525525,0.459183673469388,0,0.82
1,2,1,2,2,100,-5,-5,5,5,-1.43695730443997,2.98495003681357,1,1,1,1,TRUE,0,0,0.60554401151732,-0.239321870000025,1,0,0.0499999999999998,0.244070776373886,-0.650211571072848,0.414747067162967,1.71717423801336,4.1402926601977,0.262318857862235,1,1,1,0,0,0.205149346104204,0.229411161287942,0.31315895885349,0.493333674541833,0.209233598793043,0.219534707229484,0.320460848890011,0.496085309283767,-0.418471453792795,-0.405698139684253,-0.361606759212427,-0.266748719099788,-0.408194569174211,-0.402877124586515,-0.350778928645648,-0.260121370563435,0,0,1.7665510163641,1,1.7665510163641,NA,NA,NA,4.1402926601977,NA,NA,NA,NA,NA,0,0,1.02481458307105,0.917697118447688,0.753594666793301,0.138912703190734,-0.387416777207628,0,0.0199999999999996,1,1,0.666666666666667,1,0.520593295062124,0.520589250940095,0.876753912203312,0.511504737150488,0,0.0100000000000007,0.776572235525852,0.985985985985986,3.05833803237843,0.565565565565565,0.469387755102041,0,0.8
1,2,1,3,2,100,-5,-5,5,5,-1.39311299795756,3.00321199937542,1,1,1,1,TRUE,0,0,0.719142329017639,-0.150472303450293,1,0,0.04,0.232893171508472,-0.753579013186914,0.251563910865593,1.75928838023482,6.99340527097617,0.26916439448613,1,1,1,0,0.0200000000000005,0.173792147341718,0.287338687731608,0.355147041734204,0.51465760099379,0.178415022039213,0.262969076361204,0.364283973053231,0.518663057406361,-0.434244960857548,-0.374566257939784,-0.338926998478702,-0.255090157253842,-0.420626558127926,-0.377337450124154,-0.325467299834372,-0.246429896960269,0,0,1.77718316615909,1,1.77718316615909,NA,NA,NA,6.99340527097617,NA,NA,NA,NA,NA,0,0.0199999999999996,1.0114415234472,0.905722560928402,0.761021300306293,0.149624679957865,-0.442282036826785,0,0.0100000000000007,1,1,0.666666666666667,1,0.559475872651528,0.559475400163527,0.875222184684806,0.504294483072454,0,0,0.74395619862416,1.00600600600601,2.54334576130465,0.665665665665665,0.336734693877551,0,0.739999999999999
1,2,1,4,2,100,-5,-5,5,5,-1.38174496151995,2.73432687766762,1,1,1,1,TRUE,0,0,0.731210342446209,-0.209232218416823,1,0,0.0499999999999998,0.278450421159839,-0.779669758602793,0.290251413111409,1.84891060660091,6.37003136963618,0.279157656245007,1,1,1,0,0,0.129088534675709,0.282561449563159,0.335513503335361,0.506378602647002,0.131599159107692,0.299330379364011,0.324247934731335,0.506863292744584,-0.457438521907992,-0.376828234715499,-0.349015638172716,-0.259270260385462,-0.447418068724047,-0.360999475952191,-0.34816143621893,-0.25407422792272,0,0,1.87155451804496,1,1.87155451804496,NA,NA,NA,6.37003136963618,NA,NA,NA,NA,NA,0,0,0.94466924770586,0.913318334401304,0.69834601222098,0.141906166639172,-0.437134796760507,0,0.0199999999999996,1,1,0.666666666666667,1,0.539028623766979,0.539028620749949,0.879935894517275,0.526074930713625,0,0.0100000000000007,0.757958939536246,1.02602602602603,1.46273335620113,0.445445445445445,0.438775510204082,0,0.77
1,2,1,5,2,100,-5,-5,5,5,-1.41297083297792,3.23992922257401,1,1,1,1,TRUE,0,0,0.783246411944406,0.12200094464789,1,0,0.0300000000000002,0.293923292890142,-0.625345515274497,0.569128549255699,1.8197586861105,3.19744755115582,0.290486539817111,1,1,1,0,0.0199999999999996,0.186581711248962,0.261100805971874,0.346078524527941,0.506059084640731,0.190109691502136,0.219011356318885,0.333556886665663,0.506153782589063,-0.428281264679371,-0.38904544643917,-0.344302950141673,-0.26006993306208,-0.418510309250929,-0.403575392073369,-0.3443840610675,-0.255194723288379,0,0,1.90668009410402,1,1.90668009410402,NA,NA,NA,3.19744755115582,NA,NA,NA,NA,NA,0,0,1.04332821382305,0.905378101138332,0.683485259615191,0.159610961164694,-0.414814259141382,0,0,1,1,0.666666666666667,1,0.52782015706984,0.527818627344133,0.88074453372651,0.530377128774547,0,0,0.767395196982069,0.965965965965966,1.97428863242033,0.545545545545545,0.397959183673469,0,0.84
1,2,1,6,2,100,-5,-5,5,5,-1.46713065939611,2.61710716949475,1,1,1,1,TRUE,0,0,0.489869989049334,-0.686328359585758,1,0,0.0499999999999998,0.242204329364534,-0.619817757807177,0.493341719705549,1.73272857550815,3.51222794727826,0.234607441618318,1,1,1,0,0.00999999999999979,0.169954030547963,0.236671372404234,0.314179464189391,0.4936529075815,0.173632096575195,0.199607086378311,0.314520042443667,0.479081651720142,-0.437197371277716,-0.40205636999383,-0.361231722650993,-0.266700430947969,-0.42603992231543,-0.412648329307038,-0.353404127454302,-0.268563204976931,0,0.0200000000000005,1.80159217604443,1,1.80159217604443,NA,NA,NA,3.51222794727826,NA,NA,NA,NA,NA,0,0,1.08972080392241,0.889324016562716,0.65994596849235,0.198934039529599,-0.36961690342282,0,0.00999999999999979,1,1,0.666666666666667,1,0.528719743427014,0.528706256517643,0.875523454376687,0.49959203377696,0,0,0.766661437108473,1.00600600600601,2.66333272517498,0.565565565565565,0.397959183673469,0,0.74
1,2,1,7,2,100,-5,-5,5,5,-1.46001654465424,2.62772026339811,1,1,1,1,TRUE,0,0,0.580980954497361,-0.463159783904778,1,0,0.0299999999999994,0.274249602873903,-0.869717023323538,0.132526132886884,1.87173508649736,14.1235169677437,0.266213729552812,1,1,1,0,0.0200000000000005,0.182726122843202,0.263333753363008,0.334198899378216,0.501163101572062,0.186545787783492,0.225945126415174,0.336638278274413,0.505742406615808,-0.430436294048336,-0.38798241081195,-0.35065963361259,-0.262724053582705,-0.419652264050089,-0.399326569732507,-0.342221165279569,-0.254982167370495,0,0,1.87642090425449,1,1.87642090425449,NA,NA,NA,14.1235169677437,NA,NA,NA,NA,NA,0,0,0.891167230193928,0.917998867098484,0.623705363353578,0.129198502989759,-0.415880686847964,0,0.0200000000000005,1,1,0.666666666666667,1,0.505816608581634,0.505810550320211,0.878562354788944,0.515488767568643,0,0,0.799313994205386,1.00600600600601,2.11507282486879,0.545545545545545,0.438775510204082,0,0.829999999999999
1,2,1,8,2,100,-5,-5,5,5,-1.47266500774267,2.53279634031396,1,1,1,1,TRUE,0,0,0.561093235485716,-0.457508563858765,1,0,0.0300000000000002,0.29007934301051,-0.796640123547476,0.332248366115122,1.9246365911829,5.79276465280202,0.298396914345751,1,1,1,0,0,0.18745715847176,0.252537721523999,0.324782184866565,0.513276060438896,0.190313340883003,0.219054838776773,0.322445440702367,0.512664968905543,-0.427837436713127,-0.393569826621642,-0.355530126517873,-0.256280299383451,-0.419935214787038,-0.405028748247891,-0.351406332542124,-0.252751034800399,0,0,1.95310393602243,1,1.95310393602243,NA,NA,NA,5.79276465280202,NA,NA,NA,NA,NA,0,0,1.05167865385979,0.919420506650683,0.746804198139116,0.132419638672395,-0.364700618534216,0,0.0200000000000005,1,1,0.666666666666667,1,0.536198246173253,0.536178829049868,0.879313898717482,0.516901574030397,0,0.00999999999999979,0.826365002634964,1.00600600600601,2.42876438246045,0.625625625625625,0.418367346938776,0,0.83
1,2,1,9,2,100,-5,-5,5,5,-1.39915125250617,2.85282637273315,1,1,1,1,TRUE,0,0,0.641928099447959,-0.268074653978438,1,0,0.04,0.274017930687632,-0.792930341607124,0.248561749402738,1.83393316660014,7.37817934982695,0.282559038258394,1,1,1,0,0,0.201247893499828,0.226131674724226,0.315059059094931,0.479707423735332,0.206450588077849,0.220247936113674,0.302306217077567,0.482604938459756,-0.419634788472977,-0.406561770967882,-0.359842615141972,-0.273342459328885,-0.406395285680115,-0.399329339801502,-0.357305367464399,-0.264970158990876,0,0,1.85070089501847,1,1.85070089501847,NA,NA,NA,7.37817934982695,NA,NA,NA,NA,NA,0,0,0.890501058919957,0.911524742142842,0.695429540887219,0.135560984078865,-0.400631968570768,0,0.00999999999999979,1,1,0.666666666666667,1,0.554513583125287,0.554508921272479,0.879728785409422,0.529514799144119,0,0.0200000000000005,0.792158164836578,1.04604604604605,1.33390569003906,0.605605605605605,0.489795918367347,0,0.829999999999999
1,2,1,10,2,100,-5,-5,5,5,-1.40720128141092,3.04057534593344,1,1,1,1,TRUE,0,0,0.77863162713989,0.203828743836612,2,0,0.0300000000000002,0.289497082932589,-0.713629515460027,0.435516465094979,1.86488382595008,4.28200533255013,0.283637960193263,1,1,1,0,0.00999999999999979,0.19732296172012,0.262882630238657,0.352775511509974,0.501339686405052,0.200718967182211,0.24946138867475,0.371594441626598,0.514837331920781,-0.422049062283772,-0.387577668058794,-0.34031182583681,-0.262196509572379,-0.413152912906905,-0.387957677945825,-0.324826408070224,-0.250783343180258,0,0,1.91506299521949,1,1.91506299521949,NA,NA,NA,4.28200533255013,NA,NA,NA,NA,NA,0,0,1.0490742680653,0.927529915469032,0.710960744717726,0.1205114226293,-0.397104933595025,0,0.0100000000000007,1,1,0.666666666666667,1,0.513302933438896,0.513302833115029,0.880216691879021,0.5228978902905,0,0,0.778115942491484,1.06606606606607,1.42978423709493,0.325325325325325,0.418367346938776,0,0.75
