"class" "V1" "V10" "V11" "V12" "V13" "V15" "V16" "V17" "V18" "V19" "V2" "V20" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V3" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V4" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V5" "V6" "V7" "V8" "V9"
"0" 0 0 0 0 0 812 0 0 0 0 1 0 0 0 0 300 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 32 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 437 0 0 0 1 0 0 0 0 0 189 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 133 242 0 0 0 0 0 0 0 0 0 0 1 0 0
"0" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 455 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 109 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 400 0 0 0 0 0 0 1 52 0 0 0 0 0 0 0 113 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 1 0 0 0 233 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 120 303 0 1 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 444 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 121 404 1 0 0 0 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 874 1 0 0 1 0 0 0 0 0 377 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 76 404 0 0 0 0 0 1 0 0 0 0 1 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 244 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 16 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 437 0 0 0 1 0 0 0 0 0 200 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 30 202 0 1 0 0 0 0 0 0 0 0 1 1 0
"1" 0 433 0 0 0 812 1 0 0 1 0 0 0 0 0 455 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 110 505 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 633 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 51 404 0 0 0 0 0 0 0 1 1 0 0 0 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 1 533 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 152 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"1" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 677 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 123 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 430 0 0 1 562 1 0 0 0 0 0 0 0 0 366 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 138 505 0 0 0 0 0 0 0 0 0 0 1 1 0
"1" 0 0 0 0 1 624 1 0 0 0 0 0 0 0 0 622 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 160 414 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 1 0 0 422 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 90 454 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 322 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 120 212 0 1 0 0 0 0 0 0 1 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 422 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 70 353 0 0 0 0 0 0 0 0 1 0 0 1 0
"1" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 500 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 124 474 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 1 0 250 1 0 0 0 0 0 0 0 1 744 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 209 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"1" 0 0 0 0 0 562 1 0 0 0 0 0 1 0 0 655 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 70 605 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 466 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 81 505 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 182 353 1 0 0 0 0 1 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 444 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 18 404 0 0 0 1 0 0 0 0 0 0 0 1 0
