"band_type" "job_number" "unit_number" "ESA_Amperage" "ESA_Voltage" "anode_space_ratio" "blade_pressure" "hardener" "humifity" "ink_pct" "ink_temperature" "press_speed" "proof_cut" "roller_durometer" "roughness" "solvent_pct" "varnish_pct" "viscosity" "wax" "missing_ESA_Amperage" "missing_ESA_Voltage" "missing_anode_space_ratio" "missing_blade_pressure" "missing_hardener" "missing_humifity" "missing_ink_pct" "missing_ink_temperature" "missing_press_speed" "missing_proof_cut" "missing_roller_durometer" "missing_roughness" "missing_solvent_pct" "missing_varnish_pct" "missing_viscosity" "missing_wax" "blade_mfg.benton" "blade_mfg.uddeholm" "blade_mfg..MISSING" "caliper..200" "caliper.0.133" "caliper.0.167" "caliper.0.2" "caliper.0.200" "caliper.0.217" "caliper.0.233" "caliper.0.25" "caliper.0.267" "caliper.0.283" "caliper.0.3" "caliper.0.300" "caliper.0.333" "caliper.0.35" "caliper.0.367" "caliper.0.4" "caliper.0.433" "caliper.0.467" "caliper.0.5" "caliper.0.533" "caliper..MISSING" "chrome_content.90" "chrome_content.95" "chrome_content.100" "chrome_content..MISSING" "current_density.30" "current_density.33" "current_density.35" "current_density.37" "current_density.40" "current_density.42" "current_density.45" "current_density..MISSING" "customer.abbey" "customer.abbeypress" "customer.abbypress" "customer.adco" "customer.ames" "customer.austads" "customer.belk" "customer.belks" "customer.best" "customer.bestprod" "customer.brendls" "customer.burdines" "customer.campingworld" "customer.casliving" "customer.casualliving" "customer.cenpurch" "customer.childcraft" "customer.childworld" "customer.colorfulimage" "customer.colortil" "customer.colortile" "customer.competitivedge" "customer.cvs" "customer.downs" "customer.dunns" "customer.eckerd" "customer.eckerds" "customer.exxon" "customer.galls" "customer.global" "customer.globalequp" "customer.guideposts" "customer.gurney" "customer.hanhouse" "customer.hanoverhouse" "customer.hanoverhse" "customer.hanovrhous" "customer.hanovrhouse" "customer.hills" "customer.homeshop" "customer.homeshopping" "customer.jamesway" "customer.jcp" "customer.jcpenny" "customer.jfk" "customer.kidsrus" "customer.kmart" "customer.lazarus" "customer.lurias" "customer.massey" "customer.mervyns" "customer.modmat" "customer.natlwildlife" "customer.ntlwildlife" "customer.oldvillageshop" "customer.penney" "customer.rei" "customer.roses" "customer.sears" "customer.servmerch" "customer.sheplers" "customer.target" "customer.toysrus" "customer.tvguide" "customer.uscav" "customer.venture" "customer.walmart" "customer.wards" "customer.woolworth" "customer.woolwrth" "customer.yieldhouse" "cylinder_size.catalog" "cylinder_size.spiegel" "cylinder_size.tabloid" "cylinder_size..MISSING" "direct_steam.no" "direct_steam.yes" "direct_steam..MISSING" "grain_screened.no" "grain_screened.yes" "grain_screened..MISSING" "ink_type.coated" "ink_type.cover" "ink_type.uncoated" "paper_mill_location.canadian" "paper_mill_location.mideuropean" "paper_mill_location.northus" "paper_mill_location.scandanavian" "paper_mill_location.southus" "paper_mill_location..MISSING" "paper_type.coated" "paper_type.super" "paper_type.uncoated" "plating_tank.1910" "plating_tank.1911" "plating_tank..MISSING" "press.802" "press.813" "press.815" "press.816" "press.821" "press.824" "press.827" "press.828" "press_type.albert70" "press_type.motter70" "press_type.motter94" "press_type.woodhoe70" "proof_on_ctd_ink.no" "proof_on_ctd_ink.yes" "proof_on_ctd_ink..MISSING" "solvent_type.line" "solvent_type.naptha" "solvent_type.xylol" "solvent_type..MISSING" "type_on_cylinder.no" "type_on_cylinder.yes" "type_on_cylinder..MISSING"
"band" 25503 2 0 0 105 20 1 78 50.5 17 1700 55 34 0.75 36.4 13.1 46 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"noband" 25503 2 0 0 105 20 0.7 80 54.9 15 1900 55 34 0.75 38.5 6.6 46 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"noband" 47201 9 0 0 103.87 30 0.9 80 53.8 16 1850 62 40 0.655283680721186 39.8 6.5 40 2.8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"noband" 39039 9 0 0 108.06 30 1.3 75 55.6 16 1467 52 40 0.3125 38.8 5.6 40 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"noband" 37351 2 0 5 106.67 30 0.6 80 57.5 17 2100 50 35 0.75 42.5 0 46 2.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"noband" 38039 2 0 5 103.87 28 0.8 76 53.8 16.8 1467 50 40 0.4375 37.6 8.6 40 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"noband" 35751 2 0 6 106.67 30 0.6 75 62.5 16.5 2600 50 30 0.75 37.5 0 46 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"noband" 35751 9 0 6 106.67 28 1.1 75 62.5 16.5 2600 50 30 0.75 37.5 0 46 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 47201 7 0 1.5 103.22 60 1 70 60.2 12 1650 50 40 0.75 39.8 0 45 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0
"noband" 37000 2 0 0 106.66 32 1 75 45.5 16 1750 65 38 1 31.8 22.7 43 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
