"class" "GLCM_Pan" "Mean_G" "Mean_NIR" "Mean_R" "SD_Plan"
"2" 120.362774 205.5 416.581395 119.395349 20.676318
"2" 124.739583 202.8 354.333333 115.333333 16.707151
"2" 134.691964 199.285714 477.857143 116.857143 22.496712
"2" 127.946309 178.368421 278.473684 92.368421 14.977453
"2" 135.431548 197 532.952381 112.690476 17.604193
"2" 118.347962 226.15 608.9 138.85 29.072797
"2" 135.436282 184.5 309.190476 95.142857 13.055264
"2" 121.169643 226 595.571429 146.214286 22.808542
"2" 131.127161 232.784314 563.843137 144.588235 11.948563
"2" 134.498092 210.212121 594.848485 116.909091 27.937685
"2" 131.164773 206.681818 483.045455 114.727273 22.903544
"2" 136.09596 201.4 444.6 111.4 16.553622
"2" 122.631902 230.560976 473.707317 142.195122 24.521889
"2" 113.65618 213.107143 480.857143 129.785714 29.237766
"2" 133.894198 191.621622 419.513514 115.513514 17.489139
"2" 131.111498 213.666667 537.888889 125.444444 19.434819
"2" 127.835697 201.358491 372.132076 116.509434 23.929111
"2" 121.61126 199.744681 338.12766 121.06383 15.019107
"2" 106.242105 221.75 381.166667 140 18.903263
"2" 147.771127 220.111111 479.166667 123.722222 23.337037
"2" 135.823938 192.232877 332.424658 115.09589 12.805692
"2" 134.958974 226.673469 435.959184 141.469388 17.606107
"2" 128.531408 188.984 296.616 93.312 16.932495
"2" 143.528736 170.363636 400 78.454545 10.832306
"2" 141.109375 164.625 242.5 68 6.753471
"2" 140.02603 189.896552 561.310345 89.241379 23.83759
"2" 132.58773 222.392157 579.215686 133.058823 19.832652
"2" 121.757895 174 217.777778 92.666667 14.055446
"2" 135.677165 199.75 453.333333 105.208333 16.185073
"2" 119.457404 180.741936 227.774194 93.145161 12.293254
"2" 124.591944 179.416667 208.083333 89.083333 20.352602
"2" 126.527972 178.777778 359.777778 85.111111 11.080513
"2" 135.024485 190.877551 270.653061 104.55102 14.329932
"2" 142.56579 183.416667 240.263889 89.763889 11.29866
"2" 124.611009 180.826087 242.608696 93.434783 9.803702
"2" 130.84965 175.333333 342.277778 83.402778 21.171678
"2" 133.854167 166.407407 254.37037 78.740741 14.175076
"2" 119.714558 231.833333 591.015152 153.515152 25.385987
"2" 123.278545 218.26 600.22 129.68 29.894943
"2" 117.639292 215.564103 504.076923 131.205128 22.19423
"2" 138.512724 202.044776 445.925373 118.537313 20.084939
"2" 118.578324 198.567568 429.135135 117.067568 33.420971
"2" 134.064037 183.463636 236.681818 95.590909 18.00373
"2" 117.650655 236.486111 541.541667 155.458333 18.511821
"2" 135.284257 234.651163 587 149.837209 22.066888
"2" 123.302428 207.754386 436.087719 120.666667 18.284456
"2" 128.096093 199.2 403.333333 118.4 21.405892
"2" 119.635551 200.651786 312.517857 118.821429 21.871778
"2" 119.506522 224.241379 592.241379 131.586207 27.410822
"2" 132.279558 213.508772 503.631579 126.210526 26.666932
"2" 123.752283 222.018182 510.036364 134.672727 21.587217
"2" 123.997297 221.671429 493.414286 156.242857 24.439196
"2" 130.010502 184.87037 319.777778 103.166667 21.732253
"2" 122.797834 202.342857 322.285714 132.485714 15.835378
"2" 132.404776 201.305556 373.805556 125.407407 23.220295
"2" 127.80718 202.711957 415.804348 120.722826 27.258971
"2" 122.15942 195.15 323.975 128.825 28.948097
"2" 126.432185 206.422908 403.061674 128.599119 23.368589
"2" 128.368754 211.354497 411.301587 140.650794 24.842135
"2" 126.739726 203.391304 390.817391 129.904348 20.635785
"2" 128.581136 200.870968 436.556452 119.322581 24.033568
"2" 136.359435 210.30581 462.568807 118.422018 21.609575
"2" 128.97306 202.625 427.49537 118.759259 21.303533
"2" 131.599825 209.560185 566.009259 117.236111 36.442122
"2" 122.665428 218.267717 498.633858 136.586614 26.649676
"2" 132.455492 198.865672 323.059702 113.80597 18.657719
"2" 129.20801 188.688679 327.716981 110.650943 19.005395
"2" 124.590466 197.325203 398.853659 120.642276 18.675637
"2" 129.360137 207.261905 464.72449 123.945578 26.64041
"2" 141.57423 199.244444 364.177778 127.333333 15.219286
"2" 127.218812 190.314961 383.393701 110.102362 19.666454
"2" 118.122585 217.894118 443.111765 134.235294 18.376031
"2" 138.614314 213.603175 421 126.111111 18.304925
"2" 134.301502 210.6 436.190476 125.671429 21.034099
"1" 142.867713 228.678571 674.964286 104.392857 32.399531
"1" 143.497283 211.608696 612.347826 95.73913 29.530094
"1" 135.725 238.916667 741.270833 107.583333 20.841071
"1" 112.824561 236.92 705.84 108.04 22.670651
"1" 111.207547 233.1 729.775 105.575 23.673812
"1" 124.955163 226.695652 686.434783 100.565217 27.8711
"1" 115.849866 235.893617 757.212766 107.106383 19.601577
"1" 124.970238 218.095238 595.857143 97.428571 40.781037
"1" 130.711775 169.526738 187.684492 69.40107 8.875741
"1" 113.465116 244.259259 735.518519 107.555556 34.575418
"1" 130.118358 230.230769 689.346154 104.192308 16.023282
"1" 120.413907 216.31579 617.31579 104.894737 29.403865
"1" 127.223214 219.428571 588.857143 100.571429 17.274495
"1" 128.945313 196 437 93 27.335874
